doc_id,source,category,title,text,date
2605.14942v1,arxiv,scientific,Radioactive Source Seeking using Bayesian Optimisation with Movement Penalty,"Radioactive Source Seeking using Bayesian Optimisation with Movement Penalty

The use of mobile robotics in radioactive source seeking has become an important part of modern radiation-safety practices, supporting timely mitigation of contamination risks and helping protect public health. However, measuring radiation is often time-consuming, rendering traditional gradient-based source-seeking methods less effective due to lower sample efficiency. This paper proposes a sample-efficient Bayesian-Optimisation source-seeking strategy that utilises a heteroscedastic Gaussian process surrogate to balance exploration and exploitation. Excessive inter-sample travel is discouraged through a movement switching cost. The strategy is shown to generate sublinear regret in the source-seeking task, while simulations demonstrate its effectiveness in localising radioactive sources.",2026-05-14T15:16:33Z
wiki_bank_for_international_settlements,wikipedia,financial,Bank for International Settlements,"The Bank for International Settlements (BIS) is an international financial institution which is owned by members' central banks. Its primary goal is to foster international monetary and financial cooperation while serving as a bank for central banks. With its establishment in 1930 it is the oldest international financial institution. Its initial purpose was to oversee the settlement of World War I war reparations.
The BIS carries out its work through its meetings, programmes and through the Basel Process, hosting international groups pursuing global financial stability and facilitating their interaction. It also provides banking services, but only to central banks and other international organizations.
The BIS is based in Basel, Switzerland, with representative offices in Hong Kong and Mexico City.


== History ==


=== Background ===

International monetary cooperation started to develop tentatively in the course of the 19th century. An early case was a £400,000 loan in gold coins, in 1825 and facilitated by the Rothschilds, from the Bank of France to the Bank of England, which was facing a bank run. The Bank of England again borrowed from its French counterpart (and from the Hamburger Bank) in 1836 and 1839, and lent to it in return in 1847.
In 1860–1861, because of the disruption from the incipient American Civil War, the Bank of France entered a series of swap agreements in specie with the Bank of England as well as the State Bank of the Russian Empire and De Nederlandsche Bank. That episode was recorded as the ""war of the banks"", ostensibly because of friction between the Bank of France and the Bank of England about the transaction.
A few years later, monetary cooperation took a novel form with a series of international monetary conferences devoted to better coordination of the coinage system, even though these initiatives, like the Latin Monetary Union started in 1865, did not extend to money other than coins, and therefore involved treasury and mint officials rather than bankers.
At the Brussels Conference in 1892, German academic Julius Wolff submitted a blueprint for an international currency that would be used for emergency lending to national central banks and would be issued by an institution based in a neutral country. In 1893, French economist Raphaël-Georges Lévy suggested the establishment of an international central bank in Bern.
In 1907, Italian statesman Luigi Luzzatti published an article in the Austrian Neue Freie Presse, referencing p",
2605.14533v1,arxiv,scientific,Methane hydrate nucleation frustration and dimensional reduction of structural order under nanoconfinement,"Methane hydrate nucleation frustration and dimensional reduction of structural order under nanoconfinement

Methane hydrate nucleation under nanoconfinement remains poorly understood due to the complex interplay between geometric restriction and molecular ordering. Here, we investigate the structural organization of water-methane systems confined between silica planar slit pores with widths ranging from 1 to 5 nm and temperatures between 250 and 295 K. Three-dimensional radial distribution functions reveal a clear suppression of hydrate-like ordering at strong confinement (below 2 nm), indicating frustrated nucleation. In contrast, projected two-dimensional correlations exhibit pronounced in-plane structural organization, evidencing a confinement-induced reduction in the dimensionality of molecular order.",2026-05-14T08:15:36Z
pubmed_42133632,pubmed,medical,Optimizing breast cancer treatment strategies through fractional-order dynamics: A computational modeling approach.,"Optimizing breast cancer treatment strategies through fractional-order dynamics: A computational modeling approach.

Breast cancer treatment optimization is hindered by heterogeneity, resistance development, and differences among individuals. Most of the existing traditional mathematical models generally do not consider memory effects in biological systems. This may somewhat limit their predictive capability. Therefore, this study develops a fractional-order computational framework to capture tumor dynamics, immune responses, resistance mechanisms, and effects of thermal therapy regarding memory effects concerning their significance to treatment predictions. We considered the values of fractional order parameter ([Formula: see text]) which varied from 0.75 to 1.0 across five treatment protocols, and the analysis also included four patient populations. Efficacy was highest (32.26) with Continuous protocols at [Formula: see text] = 0.75. Specifically-optimized, patient-specific input yielded context-dependent patterns: Younger patients realized the maximum benefit (32.38) with Continuous therapy at [Formula: see text] = 0.80, while compromised patients had an optimum response (32.36) to Adaptive treatment performed at [Formula: see text] = 0.75. For older patients, the better result (31.82) was achieved using Continuous protocols at [Formula: see text] = 0.93. Parameter sensitivity analyses show that immune cytotoxic killing rate is the most effective parameter. In addition, treatment resistance parameters are among the five most sensitive. While aggregate differences between fractional-order and integer-order models remain small, context-specific improvements witnessed in certain patient-protocol combinations were as much as 3.68%. Fractional-order modeling thus creates a framework for investigating memory effects in cancer treatment, while actual clinical validation must establish whether such theoretical improvements indeed create a discernible increase in predictive accuracy in practice.",2026
pubmed_40775643,pubmed,medical,Establishing a core outcome set for creatine transporter deficiency and guanidinoacetate methyltransferase deficiency.,"Establishing a core outcome set for creatine transporter deficiency and guanidinoacetate methyltransferase deficiency.

Creatine transporter (CTD) and guanidinoacetate methyltransferase (GAMT) deficiencies are rare inborn errors of creatine metabolism, resulting in cerebral creatine deficiency. Patients with either condition commonly exhibit intellectual and developmental disabilities, often accompanied by behavior problems, delayed speech, seizures, and motor impairments. There is currently no efficacious treatment for CTD, while current management for GAMT requires lifelong treatment with a protein restricted diet and intake of high amounts of oral supplements. Efforts to conduct clinical trials on potential treatments for these disorders are made more difficult by the lack of clinical and patient-derived meaningful outcomes. A core outcome set (COS) can facilitate consistent use of outcomes in studies. The current effort included patient and caregiver perspectives into the outcome selection of a COS for CTD and GAMT.",2025
2605.06570v1,arxiv,financial,SNAPO: Smooth Neural Adjoint Policy Optimization for Optimal Control via Differentiable Simulation,"SNAPO: Smooth Neural Adjoint Policy Optimization for Optimal Control via Differentiable Simulation

Many real-world problems require sequential decisions under uncertainty: when to inject or withdraw gas from storage, how to rebalance a pension portfolio each month, what temperature profile to run through a pharmaceutical reactor chain. Dynamic programming solves small instances exactly but scales exponentially in state dimensions. Black-box reinforcement learning handles high-dimensional states but trains slowly and produces no sensitivities. We introduce SNAPO (Smooth Neural Adjoint Policy Optimization), a framework that embeds a neural policy inside a known, differentiable simulator, replaces hard constraints with smooth approximations, and computes exact gradients of the objective with respect to all policy parameters and all inputs in a single adjoint pass. We demonstrate SNAPO on three domains: natural gas storage (training in under a minute, 365 forward curve sensitivities at no additional cost per sensitivity), pension fund asset-liability management (6.5x-200x sensitivity speedup over bump-and-revalue, scaling with the number of risk factors), and pharmaceutical manufacturing (cross-unit sensitivities through a 4-unit process chain, with 20 ICH Q8 regulatory sensitivities from 5 adjoint passes in 74.5 milliseconds). All sensitivities are produced by the same backward pass that trains the policy, at a cost proportional to one reverse pass regardless of how many sensitivities are computed.",2026-05-07T17:01:13Z
2605.15153v1,arxiv,scientific,"Pelican-Unified 1.0: A Unified Embodied Intelligence Model for Understanding, Reasoning, Imagination and Action","Pelican-Unified 1.0: A Unified Embodied Intelligence Model for Understanding, Reasoning, Imagination and Action

We present Pelican-Unified 1.0, the first embodied foundation model trained according to the principle of unification. Pelican-Unified 1.0 uses a single VLM as a unified understanding module, mapping scenes, instructions, visual contexts, and action histories into a shared semantic space. The same VLM also serves as a unified reasoning module, autoregressively producing task-, action-, and future-oriented chains of thought in a single forward pass and projecting the final hidden state into a dense latent variable. A Unified Future Generator (UFG) then conditions on this latent variable and jointly generates future videos and future actions through two modality-specific output heads within the same denoising process. The language, video, and action losses are all backpropagated into the shared representation, enabling the model to jointly optimize understanding, reasoning, imagination, and action during training, rather than training three isolated expert systems.
  Experiments demonstrate that unification does not imply compromise. With a single checkpoint, Pelican-Unified 1.0 achieves strong performance across all three capabilities: 64.7 on eight VLM benchmarks, the best among comparable-scale models; 66.03 on WorldArena, ranking first; and 93.5 on RoboTwin, the second-best average among compared action methods. These results show that the unified paradigm succeeds in preserving specialist strength while bringing understanding, reasoning, imagination, and action into one model.",2026-05-14T17:50:42Z
2605.14993v1,arxiv,scientific,Accurate Modeling of Rydberg Atoms and Their Interactions: Theory and Implementation in PairInteraction,"Accurate Modeling of Rydberg Atoms and Their Interactions: Theory and Implementation in PairInteraction

Rydberg atoms provide a powerful platform for exploring strongly interacting quantum systems, both in free space and in structured electromagnetic environments, with growing applications in quantum technology. Accurately modeling their single-atom properties and mutual interactions is essential for interpreting experiments and designing new architectures. We present a unified theoretical framework for Rydberg atoms and their interactions based on multi-channel quantum defect theory (MQDT) and static electromagnetic Green's tensors. MQDT provides a precise description of Rydberg states of divalent atoms such as strontium and ytterbium, while the Green's tensor formalism provides a general and flexible approach for calculating interactions between two Rydberg atoms in arbitrary geometries, including modifications induced by nearby surfaces. We implement this framework in an updated version of the open-source PairInteraction software [Weber et al., J.~Phys.~B~50 (2017)]. The implementation leverages high-performance libraries and achieves speedups of one order of magnitude for pair-potential calculations compared to prior software. We demonstrate the capabilities of the framework through example applications to divalent atoms and show excellent agreement with experimental data for an exemplary Stark map of $^{174}$Yb. The modular software architecture enables the community to extend it further.",2026-05-14T15:55:39Z
pubmed_40694417,pubmed,medical,Comprehensive Conservative Kidney Management among Older Population: A Nationwide Administrative Claims Database Analysis.,"Comprehensive Conservative Kidney Management among Older Population: A Nationwide Administrative Claims Database Analysis.

Nonfrail patients age 75 years and older with advanced CKD were more likely to select conservative kidney management (CKM). The CKM group had significantly lower hospitalization rates compared with the non-CKM group in older patients with advanced CKD. Mortality outcomes were comparable between the CKM and non-CKM groups, indicating no notable survival disadvantage with CKM.",2025
pubmed_42119972,pubmed,medical,Latest Advances in Therapeutic Recommendations for Managing Type 2 Diabetes in People Who Fast During Ramadan.,"Latest Advances in Therapeutic Recommendations for Managing Type 2 Diabetes in People Who Fast During Ramadan.

Fasting during Ramadan is mandatory for all adult Muslims. However, those who are travelling or have an illness are exempted by religious guidelines from fasting, but have to give food or money to the poor and needy for each missed day of fasting. Despite this, many individuals with illness continue to fast, placing lives at risk and creating a burden on their families and the healthcare system. Ramadan fasting introduces challenges for individuals with illness, such as diabetes, due to changes in nutritional habits, lifestyle patterns, and medication administration. This narrative review provides an overview of type 2 diabetes (T2D) management during Ramadan fasting. A literature search was conducted using Google Scholar, Medline, PubMed, Scopus, and Embase for studies published between July 1979 and February 2026. Papers addressing T2D management during Ramadan were included based on clinical relevance, and studies not related to Ramadan fasting were excluded. Studies were selected through title, abstract, and full-text review. Approximately sixty studies were identified. Current evidence indicates that some individuals with T2D continue to experience increased hospitalisation rates during Ramadan, as reported in observational studies. Emerging evidence, based on observational studies and expert consensus with limited randomised controlled trial (RCT) data, supports the potential benefit of a personalised pre-Ramadan three-month low-calorie dietary programme for those who still insist on fasting. This approach may improve glycaemic control and reduce complications. Integrating personalised pre-Ramadan dietary interventions into diabetes management guidelines may improve safety and reduce hospitalisation rates among individuals with T2D who fast during Ramadan.",2026
wiki_central_bank,wikipedia,financial,Central bank,"A central bank, reserve bank, national bank, state bank, or monetary authority is an institution that manages the monetary policy of a country or monetary union. In contrast to a commercial bank, a central bank possesses a monopoly on increasing the monetary base. Many central banks also have supervisory or regulatory powers to ensure the stability of commercial banks in their jurisdiction, to prevent bank runs, and, in some cases, to enforce policies on financial consumer protection, and against bank fraud, money laundering, or terrorism financing. Central banks play a crucial role in macroeconomic forecasting, which is essential for guiding monetary policy decisions, especially during times of economic turbulence.
Central banks in most developed nations are usually set up to be institutionally independent from political interference, even though governments typically have governance rights over them, legislative bodies exercise scrutiny, and central banks frequently do show responsiveness to politics.
Issues like central bank independence, central bank policies, and rhetoric in central bank governors' discourse or the premises of macroeconomic policies (monetary and fiscal policy) of the state, are a focus of contention and criticism by some policymakers, researchers, and specialized business, economics, and finance media.


== Definition ==

The notion of central banks as a separate category from other banks has emerged gradually, and only fully coalesced in the 20th century. In the aftermath of World War I, leading central bankers of the United Kingdom and the United States respectively, Montagu Norman and Benjamin Strong, agreed on a definition of central banks that was both positive and normative. Since that time, central banks have been generally distinguishable from other financial institutions, except under Communism in so-called single-tier banking systems such as Hungary's between 1950 and 1987, where the Hungarian National Bank operated alongside three other major state-owned banks. For earlier periods, what institutions do or do not count as central banks is often not univocal.
Correlatively, different scholars have held different views about the timeline of emergence of the first central banks. A widely held view in the second half of the 20th century has been that Stockholms Banco (est. 1657), as the original issuer of banknotes, counted as the oldest central bank, and that consequently its successor the Sveriges Riksbank was the oldest cent",
2605.10505v1,arxiv,financial,A Theory of Multilevel Interactive Equilibrium in NeuroAI,"A Theory of Multilevel Interactive Equilibrium in NeuroAI

We propose a game-theoretic framework for adaptive multi-agent intelligent systems. Unlike classical game theory, which often treats strategies as primitive objects chosen by perfectly rational agents, the proposed framework provides a mathematical foundation for studying equilibrium in NeuroAI and can be viewed as an extension of game theory under relaxed assumptions, including partial observability, bounded computation, and uncertainty. At its core, Multilevel Interactive Equilibrium (MIE) generalizes the classical Nash equilibrium to intelligent systems with internal computation. Rather than being defined solely at the level of observable behavior, equilibrium emerges when neural learning dynamics, cognitive representations, and behavioral strategies mutually stabilize between interacting agents. This framework applies uniformly to interactions between two biological brains, two artificial agents, or hybrid human-AI systems. We discuss applications of multilevel game theory to human-autonomous vehicle driving, human-machine interaction, human-large language model (LLM) interaction, and computational psychiatry. We also outline experimental strategies and computational methods for estimating MIE and discuss challenges and prospects for future research.",2026-05-11T13:01:54Z
2605.05739v2,arxiv,financial,Multi-Dimensional Behavioral Evaluation of Agentic Stock Prediction Systems Using Large Language Model Judges with Closed-Loop Reinforcement Learning Feedback,"Multi-Dimensional Behavioral Evaluation of Agentic Stock Prediction Systems Using Large Language Model Judges with Closed-Loop Reinforcement Learning Feedback

Forecast evaluation in finance has relied on aggregate accuracy metrics and predictive-accuracy tests built on point-forecast errors. These instruments evaluate forecast outputs but cannot evaluate the process of forecast generation, which is increasingly relevant as forecasting systems become agentic, issuing forecasts through sequences of interdependent autonomous decisions whose individual quality is hidden by output-level errors. We propose a behavioral forecast-evaluation methodology that complements accuracy tests by assessing the intermediate decision process itself. Behavioral traces logged at every autonomous decision point are grouped into five-day episodes and scored along six domain-specific dimensions (regime detection, routing, adaptation, risk calibration, strategy coherence, error recovery) by an ensemble of three large language model (LLM) judges. A perturbation procedure that corrupts one dimension while leaving the other five intact confirms dimension specificity, with cross-model agreement reaching Krippendorff's $α= 0.85$. The composite behavioral score correlates at Spearman $ρ= 0.72$ with realized 20-day Sharpe ratio from offline backtesting. Closing the loop, the framework converts deficient per-dimension scores into a credit-assigned penalty added to the Soft Actor-Critic reward. Three fine-tuning cycles, confined to the validation period, produce on the held-out 2017-2025 test period a one-day MAPE reduction from 0.61% to 0.54% (11.5% relative; $p<0.001$, Cohen's $d=0.31$), significant under a Diebold-Mariano test of equal predictive accuracy ($\mathrm{DM}=-7.83$) and localized by a Giacomini-White conditional predictive ability test to the high-volatility regime. The methodology is application-agnostic. Results are from offline backtesting and do not address effects specific to live deployment.",2026-05-07T06:31:34Z
